code,current,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
2281959,TRUE,STEWART Lee-Anne,Female,Referee,J,RSA,South Africa,South Africa,['Water Polo'],
2281960,TRUE,MISKOVIC Veselin,Male,Referee,J,MNE,Montenegro,Montenegro,['Water Polo'],
2281962,TRUE,ZWART Michiel,Male,Referee,J,NED,Netherlands,Netherlands,['Water Polo'],
2281963,TRUE,Mc CALL Jennifer Erin,Female,Referee,J,USA,United States,United States of America,['Water Polo'],
2281964,TRUE,SZEKFFY Nora,Female,Judge,J,HUN,Hungary,Hungary,['Diving'],
2281965,TRUE,STABILE Jeffrey,Male,Judge,J,USA,United States,United States of America,['Diving'],
2281967,TRUE,YEOH Ken Nee,Male,Judge,J,MAS,Malaysia,Malaysia,['Diving'],
2281971,TRUE,POTVIN Sylvie,Female,Referee,J,WAQU,World Aquatics,World Aquatics,['Marathon Swimming'],
2281973,TRUE,PUTNIKOVIC Vojin,Male,Referee,J,SRB,Serbia,Serbia,['Water Polo'],
2281974,TRUE,MIN Seoghong,Male,Judge,J,KOR,Korea,Republic of Korea,['Diving'],
2281976,TRUE,SPIRITOSANTO Darren Brown,Male,Referee,J,USA,United States,United States of America,['Water Polo'],
2281977,TRUE,MEHALHEL Yasser Ali Said,Male,Referee,J,EGY,Egypt,Egypt,['Water Polo'],
2281978,TRUE,MARKOPOULOU Natalia,Female,Referee,J,GRE,Greece,Greece,['Water Polo'],
2281979,TRUE,RODRIGUEZ Angelique,Female,Judge,J,PUR,Puerto Rico,Puerto Rico,['Diving'],
2281980,TRUE,SCHREUDERS Frits Albert,Male,Referee,J,WAQU,World Aquatics,World Aquatics,['Marathon Swimming'],
2281990,TRUE,van der VOORT Ronald,Male,Judge,J,NED,Netherlands,Netherlands,['Diving'],
2281996,TRUE,SOH Soh Yew Siang,Male,Referee,J,WAQU,World Aquatics,World Aquatics,['Marathon Swimming'],
2281997,TRUE,RAK Mladen,Male,Referee,J,CRO,Croatia,Croatia,['Water Polo'],
2281998,TRUE,STAVRIDIS Georgios,Male,Referee,J,GRE,Greece,Greece,['Water Polo'],
2288825,TRUE,SHAHRIYARI Paria,Female,Referee,J,IRI,IR Iran,Islamic Republic of Iran,['Football'],
2292964,TRUE,BOYER James,Male,Referee,J,FIBA,FIBA,International Basketball Federation,['Basketball'],
2310748,TRUE,MOY,Male,Judge C,J,USA,United States,United States of America,['Breaking'],
2318060,TRUE,BROOKER Gillian,Female,Judge,J,AUS,Australia,Australia,['Diving'],
2318063,TRUE,CALDERARA Gianluca,Male,Judge,J,ITA,Italy,Italy,['Diving'],
2318067,TRUE,ARUMBOWO Pranarta,Male,Judge,J,INA,Indonesia,Indonesia,['Diving'],
2318076,TRUE,AZORIN Daniel,Male,Judge,J,FRA,France,France,['Diving'],
2318080,TRUE,BANUELOS Ricardo,Male,Judge,J,MEX,Mexico,Mexico,['Diving'],
2318089,TRUE,BUSH Barb,Female,Judge,J,CAN,Canada,Canada,['Diving'],
2318093,TRUE,SCHLEPPS Holger,Male,Judge,J,GER,Germany,Germany,['Diving'],
2318098,TRUE,CABANAS Marta,Female,Referee,J,ESP,Spain,Spain,['Water Polo'],
2318102,TRUE,ALEXANDRESCU Adrian,Male,Referee,J,ROU,Romania,Romania,['Water Polo'],
2473637,TRUE,SAITO Satoru,Male,Referee,J,JPN,Japan,Japan,['Taekwondo'],
2473638,TRUE,RODRIGUEZ Guillermo,Male,Referee,J,VEN,Venezuela,Venezuela,['Taekwondo'],
2473639,TRUE,LEE Jeng Yen,Female,Referee,J,MAS,Malaysia,Malaysia,['Taekwondo'],
2473640,TRUE,BAGHERI KALMARZI Masoumeh,Female,Referee,J,IRI,IR Iran,Islamic Republic of Iran,['Taekwondo'],
2473641,TRUE,LEVAI Ksenija,Female,Referee,J,SRB,Serbia,Serbia,['Taekwondo'],
2473642,TRUE,CHOI Yongbae,Male,Referee,J,KOR,Korea,Republic of Korea,['Taekwondo'],
2473643,TRUE,KHORASSANDJIAN Daniel,Male,Referee,J,LBN,Lebanon,Lebanon,['Taekwondo'],
2473644,TRUE,RAILEANU Stefan,Male,Referee,J,MDA,Republic of Moldova,Republic of Moldova,['Taekwondo'],
2473645,TRUE,SCHEFFLER Agnieszka,Female,Referee,J,POL,Poland,Poland,['Taekwondo'],
2473646,TRUE,STARKOV Andriy,Male,Referee,J,UKR,Ukraine,Ukraine,['Taekwondo'],
2473647,TRUE,WHITE Nichola,Female,Referee,J,AUS,Australia,Australia,['Taekwondo'],
2473648,TRUE,REZENDE Marcelo,Male,Referee,J,BRA,Brazil,Brazil,['Taekwondo'],
2473649,TRUE,JUMAN Alissa,Female,Referee,J,CAN,Canada,Canada,['Taekwondo'],
2473650,TRUE,BOYD DIAZ Susana,Female,Referee,J,PAN,Panama,Panama,['Taekwondo'],
2473651,TRUE,KIM Denis,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2473652,TRUE,SADEGHI Hassan,Male,Referee,J,BEL,Belgium,Belgium,['Taekwondo'],
2475179,TRUE,DJLASSI Anouer,Male,Referee,J,TUN,Tunisia,Tunisia,['Taekwondo'],
2475180,TRUE,ORNELAS CABALLERO Araceli,Female,Referee,J,MEX,Mexico,Mexico,['Taekwondo'],
2475181,TRUE,MAROT Jelena,Female,Referee,J,CRO,Croatia,Croatia,['Taekwondo'],
2475197,TRUE,ZHU Linfang,Female,Referee,J,CHN,China,People's Republic of China,['Taekwondo'],
2476088,TRUE,PAINCHAUD Helene,Female,Referee,J,CAN,Canada,Canada,['Water Polo'],
2480085,TRUE,MENHEL Yauheniya,Female,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480087,TRUE,DAMIENS Serge,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480088,TRUE,CAUVIN Sophie,Female,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480089,TRUE,le GLEUT Regine,Female,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480090,TRUE,VAZEILLES Pierre,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480091,TRUE,GUYOT Nicolas,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480092,TRUE,BRELET Esther,Female,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480093,TRUE,JOAL Cedric,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480094,TRUE,FAUVEAU Marion,Female,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480095,TRUE,LAISSAOUI Iliass,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480096,TRUE,LEBEE Jason,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480097,TRUE,AKA Akesse Kouadio Vincent,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480098,TRUE,SOMON Jordan,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480099,TRUE,FERNANDEZ LOBO da COSTA Joao Vitor,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480121,TRUE,BEISEMBAYEV Olzhas,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480151,TRUE,SIMSEK Onur,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2480426,TRUE,ALADARBEH Ayman,Male,Referee,J,JOR,Jordan,Jordan,['Taekwondo'],
2480430,TRUE,ISSA SAMSOU Ibrahim,Male,Referee,J,NIG,Niger,Niger,['Taekwondo'],
2480431,TRUE,FORNARO Erika,Female,Referee,J,ITA,Italy,Italy,['Taekwondo'],
2480432,TRUE,WU Yuting,Female,Referee,J,TPE,Chinese Taipei,Chinese Taipei,['Taekwondo'],
2480534,TRUE,ELSAYED May,Female,Referee,J,EGY,Egypt,Egypt,['Taekwondo'],
2481849,TRUE,CARTER Ingrid Dannette,Female,Judge,J,PBU,PBU,Paris 2024 Boxing Unit,['Boxing'],
2482372,TRUE,METAHNI Dorsaf,Female,Referee,J,TUN,Tunisia,Tunisia,['Wrestling'],
2482375,TRUE,ERSOY Orhun,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2482551,TRUE,SHIRALIYEV Asif,Male,Referee,J,AZE,Azerbaijan,Azerbaijan,['Wrestling'],
2482584,TRUE,KIM Dmitriy,Male,Referee,J,UZB,Uzbekistan,Uzbekistan,['Taekwondo'],
2482611,TRUE,IMANI Amal,Female,Referee,J,MAR,Morocco,Morocco,['Wrestling'],
2483779,TRUE,GUT la RAGIONE Livia,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2483785,TRUE,SIULZHYN Valiantsin,Male,Referee,J,UWW,UWW,United World Wrestling,['Wrestling'],
2483837,TRUE,ABDALLA Marwa,Female,Referee,J,EGY,Egypt,Egypt,['Wrestling'],
2483874,TRUE,SADEGHI Nima,Male,Referee,J,IRI,IR Iran,Islamic Republic of Iran,['Wrestling'],
2483960,TRUE,ISMAEL Hadi,Male,Referee,J,IRQ,Iraq,Iraq,['Wrestling'],
2484641,TRUE,LIGAY Igor,Male,Referee,J,KAZ,Kazakhstan,Kazakhstan,['Wrestling'],
2484901,TRUE,ZHUMABEKOV Yerik,Male,Referee,J,KAZ,Kazakhstan,Kazakhstan,['Wrestling'],
2489078,TRUE,TRIGO Nuno,Male,Technical Official,J,POR,Portugal,Portugal,['Surfing'],
2489144,TRUE,ELLIOTT Glen,Male,Technical Official,J,AUS,Australia,Australia,['Surfing'],
2489171,TRUE,MOORE Kevin,Male,Technical Official,J,PER,Peru,Peru,['Surfing'],
2490710,TRUE,CAMUS Pauline,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490711,TRUE,JAMMET Romain,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490712,TRUE,ALESSANDRINI FANTIN Vincent,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490713,TRUE,DUGLOUD Cedric,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490714,TRUE,LALLE Cedric,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490715,TRUE,DANVERS Stephanie,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490716,TRUE,LOPES Jose,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490717,TRUE,CHARPENTIER Julia,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490718,TRUE,BERTHAULT Laura,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490719,TRUE,GIRARDEY Sebastien,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490720,TRUE,ZOUAOUI Akila,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490721,TRUE,LAJEUNCOMME David,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490722,TRUE,FAUROUX Eric,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490723,TRUE,CARON Pascal,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490724,TRUE,SABLIER Laurence,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490725,TRUE,BRETAUDEAU Jerome,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490726,TRUE,DROISSART Jerome,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490727,TRUE,LAPLANCHE Emilie,Female,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490728,TRUE,PHAM Huu Hanh,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490729,TRUE,GORGETTE Julien,Male,Referee,J,IJF,IJF,International Judo Federation,['Judo'],
2490851,TRUE,le GALLO Maxime,Male,Judge,J,FRA,France,France,['Trampoline Gymnastics'],10-03-1971
2490853,TRUE,LAVERGNE Lilian,Male,Judge,J,FRA,France,France,['Trampoline Gymnastics'],20-08-1975
2490854,TRUE,CLOUD Cyril,Male,Judge,J,FRA,France,France,['Trampoline Gymnastics'],22-01-1974
2490855,TRUE,HEBANT Valerie,Female,Judge,J,FRA,France,France,['Trampoline Gymnastics'],13-11-1969
2490856,TRUE,BOURGIT Carole,Female,Judge,J,FRA,France,France,['Trampoline Gymnastics'],09-11-1974
2490861,TRUE,DESPORTE Laurent,Male,Judge,J,FRA,France,France,['Artistic Gymnastics'],06-02-1975
2490864,TRUE,de CARVALHO Sarah,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Artistic Gymnastics'],
2490876,TRUE,BUYS Mickael,Male,Judge,J,FIG,FIG,International Gymnastics Federation,['Artistic Gymnastics'],
2490881,TRUE,GAGNIERE Thomas,Male,Judge,J,FRA,France,France,['Artistic Gymnastics'],28-01-1986
2490887,TRUE,MEREL Erwan,Male,Judge,J,FIG,FIG,International Gymnastics Federation,['Artistic Gymnastics'],
2490891,TRUE,de COSSIO Isabelle,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],01-12-1964
2490892,TRUE,ANDRIESSE Anne-Sophie,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],23-03-1971
2490893,TRUE,GARBIN Amandine,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],05-02-1977
2490894,TRUE,DROUARD Benedite,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],
2490895,TRUE,BAREL Anne Valerie,Female,Judge,J,FIG,FIG,International Gymnastics Federation,['Rhythmic Gymnastics'],
2490896,TRUE,LAUTH Dominique,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],04-12-1951
2490897,TRUE,LICHTLE Agnes,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],08-05-1959
2490898,TRUE,MARTEL Camille,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],01-10-1993
2490899,TRUE,ROBIN Stephanie,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],25-10-1974
2490900,TRUE,ROUSSOT Maud,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],15-10-1979
2490901,TRUE,SALINIER Camille,Female,Judge,J,FRA,France,France,['Rhythmic Gymnastics'],26-05-1988
2490916,TRUE,VERBOOM Jef,Male,Judge,J,UCI,UCI,Union Cycliste Internationale,['Cycling BMX Freestyle'],
2490918,TRUE,ROLHION Olivier,Male,Judge,J,UCI,UCI,Union Cycliste Internationale,['Cycling BMX Freestyle'],
2490919,TRUE,ADRIX Remi,Male,Judge,J,UCI,UCI,Union Cycliste Internationale,['Cycling BMX Freestyle'],
2491197,TRUE,KANTE Dramane,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491198,TRUE,EMMANUEL EMILE Harry,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491199,TRUE,LEPERT Marie,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491200,TRUE,LARABI Rafika,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491201,TRUE,AMMI Fatima,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491203,TRUE,MORENO Jean Anthony,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491204,TRUE,MIYAHOUENOU Joel,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491205,TRUE,DUVERNOIS Jacques,Male,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
2491206,TRUE,BAYLOU Maud Francoise,Female,Referee,J,WT,World Taekwondo,World Taekwondo,['Taekwondo'],
